Id (Donation Items),Donation Id,Description,Quantity
6,3,Cases tofu @16 lbs ea = 48 lbs ,3
7,6,3 boxes of produce,3
8,6,2 boxes of Spaghetti Sauce,2
9,7,Prepared Food,2
10,6,Box of assorted dented cans ,1
11,6,Box of eggs and cheese ,1
90,72,Case oranges,1
106,88,Broccoli salad - individually packaged,1
107,89,Case of hot dogs,1
115,91,Bag bread,1
159,134,Produce,2
160,134,Bakery,1
172,144,Flats strawberries 8 lbs each,5
173,144,Lbs bread,40
217,180,Bakery boxes,6
219,182,Boxes Cantaloupes,8
240,203,Bag of Bagels,1
251,215,Frozen,1
252,215,Daury,4
253,215,Produce,2
254,215,Nonperishable,3
290,237,Boxes Bagged Salad,14
291,235,Cooked corned beef,2
292,235,Precut and pkgd xucchini,1
293,235,Cut carrots,1
300,245,Case Gatorade,1
373,302,case sour cream,1
374,302,Bags shredded cheese,4
375,308,Snacks,3
376,309,Bagels,3
416,332,Extra box of bannans ,1
422,351,New food,3
468,384,Boxes fruit,5
469,384,Box bread,1
486,401,"Box of ""breakfast beeaks""  packages of crackers, drink, chix salad",1
538,445,jello mix and dipping sauce,5
539,445,gloves,8
560,445,Protein Bars,2
569,469,Boxes Assorted Bread/Pastries,3
579,479,Hamburgers,1
580,479,Hot Dogs,1
581,479,Fruit,2
582,479,Coleslaw,1
583,479,Potato Salad,1
584,480,Cups,5
595,489,Buckets of f cocktail,3
596,489,Box bread (10lb),1
597,479,Buns big boxes,2
616,506,Box of onions,1
619,511,Bagged Lunches,60
620,511,Apples,2
653,532,Bananas,1
656,533,Bread,15
657,533,Pastries/desserts boxes,5
658,533,Salad dressing,2
659,533,Heads of lettuce,6
660,533,Spaghetti sauce,4
672,537,Cases of potato chips,6
687,551,1 huge box of bread.,1
719,573,Box of Italian Bread,1
722,558,Sandwiches,15
738,586,Bags Bakery Items,2
740,592,Box of Bagels,1
742,581,Boxes breaf,3
743,581,5 qt buckets fruit cocktail,12
750,597,Boxes assorted bakery items,6
751,599,Bags bread,3
776,620,Onions,2
777,620,I ions,2
780,620,Carrots,1
781,620,Celery,1
784,620,Celary,1
799,637,Cases grozen chicken,4
800,637,Cases bananas,2
801,639,Pans prepared food,19
802,639,Boxes bagged pretzels ,3
810,640,Boxes yogurt,3
811,644,Bag of bread,1
812,646,bread and baked goods,2
841,664,Baked items ,50
842,672,Box assorted bakery items,1
843,671,Bags bread,5
849,675,Boxes assorted vegetables buns meat fruit,9
893,717,Bakery bread,36
934,757,Pot pie,1
984,797,Cart of Produce,1
1008,815,Bag bagels,1
1011,821,Cases fruit,3
1012,823,Tubs sauce,3
1013,823,Buns ,2
1026,833,Large box misc food items - est 75 lbs,1
1039,839,Items ,50
1043,848,Trays of Mexican Food,4
1051,852,Bag bread,1
1054,850,6 Packs of bagels ,12
1056,857,20 cup buckets fruit cocktail,5
1057,857,Half box bread,1
1058,856,Box bread pastry lettice,1
1062,863,Sandwiches,1
1063,863,Milk,50
1064,863,Juice,1
1067,863,Pints of milk,50
1068,865,Trays of Prepared Fod,10
1088,882,Gallons Sour cream,40
1121,895,Snack cakes,60
1132,905,Box Pastries,1
1134,908,Non perishable boxed groceries,3
1139,912,Large bags assorted buns and rolls,3
1140,912,Blocks cheese,3
1155,918,Case individually wrapped sandwiches,1
1162,922,Trays sandwiches,6
1197,956,Bread,7
1208,972,Cases produce,2
1236,999,35 boxed lunches,35
1237,1000,100 Boxed Lunches,200
1239,1002,2 Boxes of Baby Formula,2
1242,1006,Cucumbers,6
1268,1013,Box bananas,1
1270,1018,Box of misc produce & pita bread ,1
1279,1035,Buns,4
1286,1036,Bag produce,1
1301,1055,Bag of bagels,1
1303,1058,Cupcakes,5
1306,1060,Yogurt,3
1307,1060,Yogurt,1
1309,1062,Bananas,4
1310,1058,Box gf cookies,1
1314,1066,1 lb Yogurt Container,5
1315,1066,Single Serving Yogurt,15
1342,1089,Bread,1
1343,1090,French Toast,5
1344,1090,Pancakes,5
1345,1090,Can Food,1
1353,1098,cardboard boxes,25
1363,1094,Sandwiches,6
1364,1106,Cases pop and water,2
1365,1106,Misc condiments,1
1374,1112,Box Assorted Bakery,1
1400,1114,Bread,7
1401,1114,Tomatoes,1
1402,1114,Cheese,1
1403,1126,Large bags bread & rolls,2
1429,1100,Bread,5
1434,1142,cases tea,7
1435,1142,4 cases doritos,4
1436,1142,case misc,1
1463,1131,Lettuce,3
1464,1152,Cart-full Bakery Items,1
1471,1172,various food items ,3
1474,1171,Extra bag,1
1496,1169,Bread/baguettes,20
1497,1169,Cookies box,1
1498,1184,Cheeses,12
1508,1190,Boxes of Tissues,15
1523,1203,Case peaches,1
1524,1203,Club sandwiches,70
1525,1195,Box,1
1550,1217,Box of Bananas,1
1551,1216,Box of Bananas,2
1562,1235,various food items ,5
1563,1226,Cases x 4 gal whole milk,3
1564,1225,Cases x 4 gal whole milk,9
1585,1252,Assorted items,3
1586,1252,Bread bags,2
1594,1256,Desserts,3
1597,1262,various food items ,4
1606,1268,various items,4
1611,1272,non perishable items(marinara sauce),1
1612,1272,Baguettes,80
1615,1271,Boxes of bananas,4
1618,1277,various food items ,4
1619,1278,Bakery,12
1620,1279,Zucchini,1
1621,1281,Zucchini,2
1622,1282,Zucchini,2
1648,1301,Cases Corn,2
1657,1301,Cases corn,2
1658,1301,Corn,6
1691,1335,Zucchini,1
1692,1335,Bananas,1
1693,1335,Pickles,1
1694,1335,Cucumbers,1
1695,1336,Zucchini,3
1696,1335,Broccoli,1
1704,1339,bags ,2
1716,1350,Box assorted baked goods ,1
1721,1356,Prepared Food,5
1725,1360,various items,4
1740,1374,various food items ,3
1744,1374,Boxes frozen ,2
1745,1374,Boxes dairy,2
1746,1374,Box Nonperishable,3
1747,1374,Boxes produce,2
1751,1380,Test item,1
1781,1406,Assorted bagels,2
1837,1449,Bag of Potatoes,1
1882,1501,Large trays prepared food,4
1889,1509,various,10
1906,1523,small boxes of kind bars,23
1907,1520,cart bakery items,1
1912,1525,Box baked goods,1
1916,1530,Prepared Food,3
1917,1531,Prepared Food,3
1918,1531,Bags of Sesame seed bagels,2
1920,1532,Baked goods,3
1926,1537,Cases cucubers,6
1933,1544,Prepared Food,3
1934,1545,Cold meals,4
1947,1546,Boxes Assorted Bakery Items,4
1948,1549,Cased fruit,4
1949,1549,Case lettuce ,1
1950,1549,Box bread,1
1951,1549,Flat tomatoes,1
1952,1549,Flats exotic mushrooms,2
1962,1564,Bags of corn,10
1972,1569,Crackers,10
1973,1569,Produce,2
1976,1565,Bread,3
1977,1565,Baked Goods,3
1978,1574,Half trays,3
1983,1578,Kind Bars,3
